Block,TrialInBlock,Trial,Character,FrameCount,FixCrossDuration,PrimingDuration,Completed,Attempts,Skipped,RespTime,ID
0,0,0,story,1,1.190995,0.011,True,1,False,0.9940357,3
0,1,1,story,2,1.294061,0.022,True,1,False,0.9944687,3
0,2,2,story,3,1.048709,0.033,True,1,False,0.9941254,3
0,3,3,story,4,1.000192,0.044,True,1,False,0.9940872,3
0,4,4,story,5,1.033486,0.057,True,1,True,0.2584553,3
0,5,5,story,6,1.173069,0.066,True,1,True,0.2808361,3
0,6,6,story,7,1.241229,0.077,True,1,True,0.3696938,3
0,7,7,story,8,1.417369,0.087,True,1,True,0.4593925,3
0,8,8,issue,1,1.396673,0.012,True,1,False,0.9941826,3
0,9,9,issue,2,1.205311,0.022,True,1,False,0.9941673,3
0,10,10,issue,3,1.405969,0.032,True,1,False,0.9943123,3
0,11,11,issue,4,1.132796,0.045,True,1,True,0.2469025,3
0,12,12,issue,5,1.408179,0.056,True,1,True,0.6494713,3
0,13,13,issue,6,1.31606,0.07,True,1,True,0.3809128,3
0,14,14,issue,7,1.007982,0.079,True,1,True,0.2474632,3
0,15,15,issue,8,1.408778,0.087,True,1,True,0.2470856,3
0,16,16,value,1,1.18251,0.011,True,1,False,0.9940758,3
0,17,17,value,2,1.285576,0.022,True,1,False,0.994194,3
0,18,18,value,3,1.040223,0.032,True,1,False,0.9939842,3
0,19,19,value,4,1.491707,0.044,True,1,True,0.917099,3
0,20,20,value,5,1.07734,0.057,True,1,True,0.615593,3
0,21,21,value,6,1.269261,0.067,True,1,True,0.4593735,3
0,22,22,value,7,1.499391,0.079,True,1,True,0.4258652,3
0,23,23,value,8,1.494477,0.09,True,1,True,0.5039215,3
0,24,24,movie,1,1.125363,0.011,True,1,False,0.9942398,3
0,25,25,movie,2,1.033244,0.023,True,1,False,0.9943695,3
0,26,26,movie,3,1.305325,0.034,True,1,True,0.2803879,3
0,27,27,movie,4,1.106878,0.045,True,1,True,0.5035934,3
0,28,28,movie,5,1.006023,0.055,True,1,True,0.4931946,3
0,29,29,movie,6,1.171775,0.065,True,1,True,0.3698349,3
0,30,30,movie,7,1.293925,0.078,True,1,True,0.4819412,3
0,31,31,movie,8,1.301049,0.089,True,1,True,0.4597321,3
0,32,32,river,1,1.046961,0.011,True,1,False,0.9942551,3
0,33,33,river,2,1.498445,0.022,True,1,False,0.9942551,3
0,34,34,river,3,1.279262,0.034,True,1,False,0.9940262,3
0,35,35,river,4,1.11572,0.044,True,1,True,0.180687,3
0,36,36,river,5,1.255303,0.056,True,1,True,0.4368362,3
0,37,37,river,6,1.029035,0.068,True,1,True,0.4701004,3
0,38,38,river,7,1.053592,0.078,True,1,True,0.4594345,3
0,39,39,river,8,1.49634,0.091,True,1,True,0.3365097,3
0,40,40,mouth,1,1.198649,0.011,True,1,False,0.9940033,3
0,41,41,mouth,2,1.481117,0.022,True,1,False,0.9938126,3
0,42,42,mouth,3,1.343745,0.033,True,1,False,0.9943314,3
0,43,43,mouth,4,1.293577,0.045,True,1,True,0.2808685,3
0,44,44,mouth,5,1.415727,0.054,True,1,True,0.5592957,3
0,45,45,mouth,6,1.269618,0.068,True,1,True,0.3582001,3
0,46,46,mouth,7,1.266356,0.078,True,1,True,0.3923264,3
0,47,47,mouth,8,1.040088,0.09,True,1,True,0.5715561,3
0,48,48,judge,1,1.216227,0.011,True,1,False,0.9940948,3
0,49,49,judge,2,1.416885,0.023,True,1,False,0.9940948,3
0,50,50,judge,3,1.404925,0.033,True,1,False,0.9990082,3
0,51,51,judge,4,1.311155,0.045,True,1,True,0.1689835,3
0,52,52,judge,5,1.379316,0.056,True,1,False,0.9940491,3
0,53,53,judge,6,1.285546,0.07,True,1,True,0.671936,3
0,54,54,judge,7,1.221247,0.077,True,1,True,0.202301,3
