Block,TrialInBlock,Trial,PrimeNumbers,Distance,PrimingDurationConst,CountingOrder,ShowedNumber,FixCrossDuration,PrimingDuration,Completed,Attempts,Skipped,RespTime,ID
0,0,0,3,2,3,RightHandFirst,5,1.101817,0.131,True,1,False,2.794357,1
0,1,1,7,2,3,RightHandFirst,9,1.327033,0.031,True,1,False,2.015411,1
0,2,2,3,-2,3,LeftHandFirst,1,1.250735,0.018,True,1,False,1.692703,1
0,3,3,3,0,3,RightHandFirst,3,1.360886,0.026,True,1,False,1.884033,1
0,4,4,6,0,3,LeftHandFirst,6,1.410001,0.072,True,1,False,2.319641,1
0,5,5,7,2,3,LeftHandFirst,9,1.26063,0.088,True,1,False,2.111115,1
0,6,6,4,2,3,RightHandFirst,6,1.433507,0.062,True,1,False,0.3662262,1
0,7,7,3,-2,3,LeftHandFirst,1,1.054006,0.066,True,1,False,0.07821655,1
0,8,8,7,2,3,LeftHandFirst,9,1.400812,0.065,True,1,False,1.619278,1
0,9,9,7,0,3,LeftHandFirst,7,1.02135,0.062,True,1,False,0.1200409,1
0,10,10,4,0,3,RightHandFirst,4,1.106943,0.067,True,1,False,1.796051,1
0,11,11,6,2,3,LeftHandFirst,8,1.494089,0.051,True,1,False,6.307022,1
0,12,12,6,2,3,RightHandFirst,8,1.47234,0.071,True,1,False,3.217834,1
0,13,13,6,0,3,LeftHandFirst,6,1.117436,0.073,True,1,False,0.073349,1
0,14,14,3,2,3,RightHandFirst,5,1.480024,0.047,True,1,False,0.1175385,1
0,15,15,6,2,3,LeftHandFirst,8,1.253756,0.081,True,1,False,1.440887,1
0,16,16,3,-2,3,RightHandFirst,1,1.196543,0.062,True,1,False,0.2738342,1
0,17,17,4,0,3,RightHandFirst,4,1.318693,0.071,True,1,False,1.63736,1
0,18,18,6,0,3,RightHandFirst,6,1.482833,0.072,True,1,False,2.534882,1
0,19,19,7,-2,3,RightHandFirst,5,1.234218,0.073,True,1,False,2.200409,1
0,20,20,7,0,3,RightHandFirst,7,1.086498,0.077,True,1,False,1.309601,1
0,21,21,6,0,3,LeftHandFirst,6,1.187913,0.065,True,1,False,2.754272,1
0,22,22,7,-2,3,LeftHandFirst,5,1.06471,0.07,True,1,False,4.161804,1
0,23,23,7,2,3,RightHandFirst,9,1.234324,0.073,True,1,False,2.645035,1
0,24,24,3,-2,3,RightHandFirst,1,1.236535,0.066,True,1,False,1.569,1
0,25,25,4,2,3,RightHandFirst,6,1.330904,0.055,True,1,False,2.151154,1
0,26,26,6,0,3,RightHandFirst,6,1.198965,0.08,True,1,False,0.07347107,1
0,27,27,3,0,3,RightHandFirst,3,1.197353,0.048,True,1,False,1.613007,1
0,28,28,4,0,3,RightHandFirst,4,1.209912,0.051,True,1,False,1.353317,1
0,29,29,7,-2,3,LeftHandFirst,5,1.239904,0.07,True,1,False,1.734634,1
0,30,30,4,-2,3,LeftHandFirst,2,1.262849,0.058,True,1,False,0.07836914,1
0,31,31,4,-2,3,LeftHandFirst,2,1.331009,0.058,True,1,False,0.7003021,1
0,32,32,3,-2,3,RightHandFirst,1,1.380085,0.069,True,1,False,0.2955475,1
