Block,TrialInBlock,Trial,Character,FrameCount,FixCrossDuration,PrimingDuration,Completed,Attempts,Skipped,RespTime,ID
0,0,0,story,1,1.13197,0.011,True,1,False,0.9940147,4
0,1,1,story,2,1.458041,0.023,True,1,False,0.9940224,4
0,2,2,story,3,1.461863,0.034,True,1,False,0.9940948,4
0,3,3,story,4,1.145088,0.047,True,1,False,0.9787941,4
0,4,4,story,5,1.009366,0.056,True,1,False,0.9944649,4
0,5,5,story,6,1.46085,0.067,True,1,False,0.9943237,4
0,6,6,story,7,1.241667,0.077,True,1,False,0.9940071,4
0,7,7,story,8,1.496315,0.09,True,1,False,0.989357,4
0,8,8,story,9,1.054127,0.103,True,1,True,0.4034691,4
0,9,9,issue,1,1.399282,0.011,True,1,False,0.9937973,4
0,10,10,issue,2,1.20792,0.022,True,1,False,0.9938545,4
0,11,11,issue,3,1.16979,0.034,True,1,False,0.9940948,4
0,12,12,issue,4,1.191046,0.046,True,1,False,0.9989929,4
0,13,13,issue,5,1.071107,0.055,True,1,False,0.994072,4
0,14,14,issue,6,1.299585,0.067,True,1,False,0.9939728,4
0,15,15,issue,7,1.01063,0.078,True,1,False,0.9942322,4
0,16,16,issue,8,1.141516,0.09,True,1,False,0.9940872,4
0,17,17,issue,9,1.439767,0.1,True,1,False,0.9940033,4
0,18,18,value,1,1.302394,0.011,True,1,False,0.9943085,4
0,19,19,value,2,1.057042,0.022,True,1,False,0.9939804,4
0,20,20,value,3,1.008526,0.033,True,1,False,0.9942474,4
0,21,21,value,4,1.041819,0.045,True,1,False,0.993866,4
0,22,22,value,5,1.411493,0.056,True,1,False,0.9943771,4
0,23,23,value,6,1.497125,0.067,True,1,False,0.9941254,4
0,24,24,value,7,1.23434,0.077,True,1,False,0.9943008,4
0,25,25,value,8,1.309585,0.089,True,1,True,0.7988281,4
0,26,26,value,9,1.092054,0.1,True,1,False,0.9939804,4
0,27,27,movie,1,1.276929,0.011,True,1,False,0.9941101,4
0,28,28,movie,2,1.433985,0.022,True,1,False,0.9942932,4
0,29,29,movie,3,1.258405,0.033,True,1,False,0.9938431,4
0,30,30,movie,4,1.41546,0.045,True,1,False,0.9944077,4
0,31,31,movie,5,1.001093,0.056,True,1,False,0.9937439,4
0,32,32,movie,6,1.273174,0.067,True,1,False,0.994072,4
0,33,33,movie,7,1.207224,0.078,True,1,False,0.9890442,4
0,34,34,movie,8,1.36428,0.089,True,1,False,0.9942017,4
0,35,35,movie,9,1.449912,0.104,True,1,True,0.5935822,4
0,36,36,river,1,1.09658,0.011,True,1,False,0.9942551,4
0,37,37,river,2,1.325059,0.023,True,1,False,0.993782,4
0,38,38,river,3,1.356702,0.033,True,1,False,0.9940414,4
0,39,39,river,4,1.388344,0.045,True,1,False,0.9941711,4
0,40,40,river,5,1.055787,0.055,True,1,False,0.9937897,4
0,41,41,river,6,1.104863,0.066,True,1,False,0.9943695,4
0,42,42,river,7,1.028526,0.081,True,1,False,0.9940491,4
0,43,43,river,8,1.338815,0.091,True,1,True,0.8280182,4
0,44,44,river,9,1.137065,0.099,True,1,False,0.9940948,4
0,45,45,mouth,1,1.017126,0.011,True,1,False,0.9942474,4
0,46,46,mouth,2,1.371017,0.023,True,1,False,0.9940643,4
0,47,47,mouth,3,1.082062,0.034,True,1,False,0.9942322,4
0,48,48,mouth,4,1.310541,0.046,True,1,False,0.9942627,4
0,49,49,mouth,5,1.162781,0.058,True,1,False,0.9938965,4
0,50,50,mouth,6,1.124652,0.067,True,1,False,0.9941254,4
0,51,51,mouth,7,1.145907,0.076,True,1,False,0.993988,4
0,52,52,mouth,8,1.428375,0.088,True,1,False,0.9940796,4
