Block,TrialInBlock,Trial,PrimeNumbers,Distance,CountingOrder,FixCrossDuration,Completed,Attempts,Skipped,RespTime,ID
0,0,0,6,2,RightHandFirst,1.265395,True,1,False,4.746582,1
0,1,1,6,-2,LeftHandFirst,1.24691,True,1,False,1.172775,1
0,2,2,4,0,LeftHandFirst,1.250732,True,1,False,0.8260193,1
0,3,3,3,-2,LeftHandFirst,1.158613,True,1,False,0.01126099,1
0,4,4,7,0,LeftHandFirst,1.146614,True,1,False,0.8488846,1
0,5,5,3,-2,RightHandFirst,1.359311,True,1,False,0.5211411,1
0,6,6,4,-2,LeftHandFirst,1.479809,True,1,False,0.6375885,1
0,7,7,3,2,RightHandFirst,1.164685,True,1,False,0.6815796,1
0,8,8,6,0,RightHandFirst,1.105782,True,1,False,0.5801849,1
0,9,9,4,2,LeftHandFirst,1.379514,True,1,False,0.6355667,1
0,10,10,3,0,LeftHandFirst,1.0104,True,1,False,0.7249451,1
0,11,11,6,2,LeftHandFirst,1.240529,True,1,False,0.9371796,1
0,12,12,3,0,RightHandFirst,1.12059,True,1,False,0.6034622,1
0,13,13,6,0,LeftHandFirst,1.171317,True,1,False,0.7821655,1
0,14,14,7,2,RightHandFirst,1.166403,True,1,False,1.060699,1
0,15,15,7,-2,RightHandFirst,1.323458,True,1,False,0.6029358,1
0,16,16,4,2,RightHandFirst,1.400355,True,1,False,0.5697556,1
0,17,17,4,0,RightHandFirst,1.254246,True,1,False,0.5698853,1
0,18,18,4,-2,RightHandFirst,1.358963,True,1,False,0.5695877,1
0,19,19,7,0,RightHandFirst,1.435859,True,1,False,1.228897,1
0,20,20,3,2,LeftHandFirst,1.422248,True,1,False,0.603363,1
0,21,21,7,2,LeftHandFirst,1.291922,True,1,False,0.9493103,1
0,22,22,6,-2,RightHandFirst,1.12838,True,1,False,0.6141052,1
0,23,23,7,-2,LeftHandFirst,1.097296,True,1,False,0.537323,1
